"region","state_cd"
"oth","AK"
"ESC","AL"
"WSC","AR"
"MNT","AZ"
"PAC","CA"
"MNT","CO"
"NE","CT"
"SA","DC"
"SA","DE"
"SA","FL"
"SA","GA"
"oth","HI"
"WNC","IA"
"MNT","ID"
"ENC","IL"
"ENC","IN"
"WNC","KS"
"ESC","KY"
"WSC","LA"
"NE","MA"
"SA","MD"
"NE","ME"
"ENC","MI"
"WNC","MN"
"WNC","MO"
"ESC","MS"
"MNT","MT"
"SA","NC"
"WNC","ND"
"MNT","NE"
"NE","NH"
"MA","NJ"
"MNT","NM"
"MNT","NV"
"MA","NY"
"ENC","OH"
"WSC","OK"
"PAC","OR"
"MA","PA"
"oth","PR"
"NE","RI"
"SA","SC"
"WNC","SD"
"ESC","TN"
"WSC","TX"
"MNT","UT"
"SA","VA"
"NE","VT"
"PAC","WA"
"ENC","WI"
"SA","WV"
"MNT","WY"
